text,airline_sentiment
"Smartwatch doesn't sync with phone properly.",negative
"Mobile phone case broke within days.",negative
"Laptop is lightweight and perfect for travel.",positive
"Comfortable running shoes, worth the price.",positive
"Headphones are cheaply made, very bad.",negative
"Smartwatch tracks sleep accurately, very helpful.",positive
"Mobile phone screen cracked easily.",negative
"Great performance laptop at this price!",positive
"Shoes sole tore after first use — terrible.",negative
"Headphones fit well, very comfortable.",positive
"Smartwatch notifications are delayed, annoying.",negative
"This chair is extremely comfortable and sturdy.",positive
"The table legs broke after a week, very disappointed.",negative
"Sofa quality is excellent, feels durable.",positive
"Bought a cabinet, and the hinges are already loose.",negative
"The dining set is beautiful and well-crafted.",positive
"Desk surface scratched easily, poor quality.",negative
"Bed frame is strong and stable, very happy.",positive
"The bookshelf arrived with broken shelves.",negative
"Armchair is cozy and supports my back well.",positive
"The stool wobbles a lot, not safe.",negative
"Couch fabric feels premium and lasts long.",positive
"Drawer handle fell off on first use.",negative
"Office chair is ergonomic and comfortable.",positive
"The wardrobe doors are misaligned.",negative
"The recliner works smoothly, very satisfied.",positive
"Coffee table got chipped during first week.",negative
"The mattress is firm and comfortable to sleep.",positive
"The nightstand came with scratches everywhere.",negative
"TV stand looks elegant and sturdy.",positive
"The dining chair is uneven and unstable.",negative
"Bookcase is spacious and solid.",positive
"Bedside table top cracked easily.",negative
"Futon is surprisingly durable and comfortable.",positive
"Cabinet drawers are hard to open, poor design.",negative
"The rocking chair is smooth and well-made.",positive
"Chair fabric tore within days, very poor quality.",negative
"The dresser is stylish and functional.",positive
"Table corners chipped easily, disappointed.",negative
"The sofa bed is easy to fold and sturdy.",positive
"The office desk wobbles badly.",negative
"Outdoor chair is strong and weather-resistant.",positive
"Patio table legs bent after first rain.",negative
"The bean bag is comfortable and durable.",positive
"The cabinet shelves collapsed under weight.",negative
"The lounge chair cushions are soft and supportive.",positive
"The drawer rails are misaligned.",negative
"Coffee table design is elegant and solid.",positive
"The bedside lamp table is flimsy.",negative
"TV console holds heavy equipment well.",positive
"The dining bench cracked after first use.",negative
"The recliner feels premium and durable.",positive
"Office chair base is weak and unstable.",negative
"Bookshelf stands strong, no wobbling.",positive
"The wardrobe surface got scratched easily.",negative
"The bed slats are solid and well-built.",positive
"The nightstand screws were loose on arrival.",negative
"Outdoor sofa cushions are comfortable and long-lasting.",positive
"Patio chair paint peeled off quickly.",negative
"The coffee table finish is smooth and looks great.",positive
"The dining table edges chipped easily.",negative
"The recliner padding is thick and comfy.",positive
"The side table legs are wobbly.",negative
"The drawer slides smoothly, very satisfied.",positive
"The cabinet frame is weak, broke fast.",negative
"The rocking chair is stable and well-built.",positive
"Chair legs are uneven, very disappointed.",negative
"The lounge sofa is soft but sturdy.",positive
"The desk surface peeled off.",negative
"The mattress is firm and supportive.",positive
"The bed frame screws loosened after a month.",negative
"The outdoor bench feels solid and durable.",positive
"The patio furniture color faded quickly.",negative
"The bean bag stitching is strong.",positive
"Futon cover tore after first wash.",negative
"The dresser is functional and stylish.",positive
"The wardrobe doors squeak and misalign.",negative
"The coffee table is heavy and sturdy.",positive
"The nightstand top cracked under weight.",negative
"The recliner mechanism works smoothly.",positive
"The lounge chair cushion flattened quickly.",negative
"Bookshelf can hold many heavy books.",positive
"The dining chair fabric tore easily.",negative
"The sofa is spacious and comfortable.",positive
"The bean bag foam flattened too fast.",negative
"The TV console is strong and reliable.",positive
"The office desk drawers jam easily.",negative
"Patio table is weather-resistant and durable.",positive
"The outdoor chair legs bent under weight.",negative
"The bed frame is solid and stable.",positive
"The nightstand paint chipped.",negative
"The recliner padding feels premium.",positive
"Chair seat cracked within days.",negative
"The lounge sofa is soft and supportive.",positive
"The cabinet drawers stuck badly.",negative
"The dresser top is sturdy and smooth.",positive
"The bookshelf was damaged during delivery.",negative
"Outdoor bench feels very stable.",positive
"The patio furniture cushions tore easily.",negative
"The coffee table is elegant and solid.",positive
"The side table wobbles a lot.",negative
"The mattress is very comfortable and firm.",positive
"The bed slats creaked after first night.",negative
"The rocking chair is smooth and durable.",positive
"The lounge chair fabric faded quickly.",negative
"The futon frame is solid and supportive.",positive
"The cabinet door fell off.",negative
"The recliner is comfortable for long sitting.",positive
"The sofa legs are weak, very disappointed.",negative
"The movie was absolutely fantastic, loved it!",positive
"Terrible film, I left the theater early.",negative
"Amazing storyline, kept me hooked till the end.",positive
"Actors were miscast, very disappointing.",negative
"Best movie of the year, highly recommend.",positive
"Script was weak and dialogues were cheesy.",negative
"Visual effects were stunning, loved every scene.",positive
"The film lacked depth and character development.",negative
"Brilliant performance by the lead actress.",positive
"Movie was slow and boring, wasted my time.",negative
"Great soundtrack and cinematography.",positive
"Predictable plot, nothing new.",negative
"Comedy scenes were hilarious, really enjoyed.",positive
"Poor editing ruined the movie.",negative
"Emotional scenes hit me hard, very touching.",positive
"Terrible pacing, movie dragged unnecessarily.",negative
"Fantastic action sequences and choreography.",positive
"Storyline was confusing and badly executed.",negative
"Actor delivered an award-worthy performance.",positive
"Movie was full of clichés and boring scenes.",negative
"Best movie direction I've seen in years.",positive
"Screenplay was disjointed and uninteresting.",negative
"Soundtrack complements the movie perfectly.",positive
"Characters were flat and unrelatable.",negative
"Thrilling from start to finish, amazing plot.",positive
"Too many plot holes, didn't enjoy it.",negative
"Movie left me in awe, stunning visuals.",positive
"Dialogues were cringy and overacted.",negative
"Lead actor's performance was captivating.",positive
"Movie failed to live up to the trailer.",negative
"Outstanding cinematography and setting.",positive
"Story lacked originality, very predictable.",negative
"Excellent comedy, laughed throughout.",positive
"Poorly written and badly acted.",negative
"Movie has a strong message, very inspiring.",positive
"Terrible movie, I regret watching it.",negative
"Great film for the whole family.",positive
"Movie was too slow, fell asleep.",negative
"Plot twists were brilliant, kept me guessing.",positive
"Characters were annoying and poorly developed.",negative
"Action-packed and thrilling movie.",positive
"Movie felt rushed and unfinished.",negative
"Emotional and heartwarming story.",positive
"Direction was amateurish and disappointing.",negative
"Best special effects I have seen in years.",positive
"Screenplay was boring and predictable.",negative
"Lead actress gave an unforgettable performance.",positive
"Movie dragged on, couldn't wait to finish.",negative
"Amazing storytelling and dialogue.",positive
"Terrible execution of a good concept.",negative
"Highly entertaining, worth every penny.",positive
"Poor casting ruined the movie.",negative
"Fantastic movie, I want to watch again.",positive
"Movie failed to impress at all.",negative
"Strong performances, loved it!",positive
"Movie was a mess, didn't understand anything.",negative
"Emotional journey, really touching.",positive
"Too many loose ends, confusing plot.",negative
"Great movie with unforgettable characters.",positive
"Terrible movie, acting was subpar.",negative
"Beautifully shot and well-directed.",positive
"Storyline was weak and uninteresting.",negative
"Very funny, laughed a lot.",positive
"Comedy fell flat, didn't enjoy it.",negative
"Excellent movie, highly recommend to friends.",positive
"Movie lacked creativity and depth.",negative
"Great performance by supporting cast.",positive
"Terrible movie experience, wasted time.",negative
"Movie kept me at the edge of my seat.",positive
"Story was incoherent and messy.",negative
"Perfect mix of drama and comedy.",positive
"Movie was dull, nothing exciting.",negative
"Great soundtrack and musical score.",positive
"Dialogues were awkward and cringy.",negative
"Fantastic film, loved every minute.",positive
"Movie was boring, couldn't finish it.",negative
"Amazing direction, very immersive.",positive
"Predictable and cliché story.",negative
"Heartfelt and inspiring movie.",positive
"Poorly executed action scenes.",negative
"Really enjoyed the movie, great experience.",positive
"Movie was disappointing, expected better.",negative
"Outstanding visual effects and CGI.",positive
"Movie failed to deliver, very bland.",negative
"Emotional and engaging story.",positive
"Characters were poorly written.",negative
"Best acting I've seen in a long time.",positive
"Movie lacked energy and excitement.",negative
"Highly recommend, amazing film.",positive
"Didn't enjoy it, story was confusing.",negative
"Brilliant movie, well-directed.",positive
"Film was slow and boring.",negative
"Great plot, well-executed.",positive
"Terrible movie, wasted two hours.",negative
